P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
OGLE-2016-BLG-1227L b,250,13.9,,1.2939289,0.093088409,3.4,,,,Jovian,,OGLE-2016-BLG-1227L,,265.59713,-33.759778,,,0.1,,,,,,,,,,0,0,0,
Kepler-276 c,16.6,2.9,31.884,1.9738407,0.68063471,0.1994,20.490365,541.98483,,Neptunian,Hot,Kepler-276,G,293.5682,39.036312,15.481,5779,1.1,1.03,0.02,0.81470428,0.67733674,1.5957419,0.85793091,1.5129084,2.4370462,2.0977833,0,0,0,0.27203194
Kepler-829 b,5.1,2.11,6.8833756,1.1455268,0.54290371,0.0678,238.52868,1001.1171,1130.6044,Superterran,Hot,Kepler-829,G,282.33283,42.463813,14.973,5698,0.98,0.97,0.03,1.0964782,0.78960296,1.8643421,1.0001322,1.7675657,2.8272471,1.7563169,0,0,0,0.25476271
K2-283 b,12.2,3.52,1.921036,0.98463326,0.27972536,0.0291,353.35726,1104.4682,,Neptunian,Hot,K2-283,K,13.194368,9.6929181,14.364,5060,0.89,0.82,0.28,0.29922646,0.42721564,1.0304731,0.54113104,0.9769811,1.4769431,0.56837407,0,0,0,0.19390612
Kepler-477 b,4.94,2.07,11.119907,1.1528857,0.55694962,0.0911,51.163853,681.30334,769.42507,Superterran,Hot,Kepler-477,K,288.06745,42.355305,13.835,5240,0.87,0.79,-0.04,0.42461956,0.50426386,1.2081679,0.63872145,1.1454523,1.7593967,0.76850241,0,0,0,0.27672114
TOI-1260 c,13.2,2.76,7.493134,1.7328292,0.62783668,0.0657,29.91364,595.75408,,Neptunian,Hot,TOI-1260,K,157.14407,65.854199,11.922,4227,0.68,0.67,-0.1,0.12912193,0.28981995,0.72539684,0.36710237,0.68773744,0.97020557,0.1242103,0,0,0,0.26044049
HD 149143 b,422.7139,13.6,4.07182,2.2854341,0.16804663,0.053007391,797.0927,1353.4874,,Jovian,Hot,HD 149143,G,248.21267,2.0844547,7.89,5856,1.2,1.44,0.29,2.2387211,1.1175982,2.627713,1.4155736,2.4913109,4.0398363,2.4649488,0,0,0,0.067319209
HD 99492 b,25.5,5.44,17.0503,0.86167279,0.15839573,0.12006936,23.274946,559.40675,,Neptunian,Hot,HD 99492,K,171.68969,3.0071331,7.56727,4929,0.85,0.82,0.3,0.33496544,0.45483697,1.1028369,0.57611888,1.045588,1.5626574,0.44692616,0,0,0,0.18841577
nu Oph c,7838.3235,12,3180.6,54.432802,4.5360668,5.9223835,2.3490021,313.45519,,Jovian,Hot,nu Oph,K,269.7566,-9.7741342,3.31216,4887,2.61,12.24,0.1,78.523563,6.97729,16.946994,8.8377849,16.067263,23.925651,0.60437434,0,0,0,0.3373425
75 Cet b,787.89662,13.3,696.62,4.4541615,0.33489936,1.9202684,14.220357,493.87889,,Jovian,Hot,75 Cet,G,38.03916,-1.0350269,5.3532,4809,1.92,10.38,0.1,51.760683,5.6843376,13.85188,7.2000753,13.132814,19.425122,0.4771582,0,0,0,0.13562122
gam Lib b,357.87479,13.7,414.88,1.9067334,0.13917762,1.3358832,45.934794,659.97527,,Jovian,Hot,gam Lib,K,233.88186,-14.789502,3.90672,4879,1.78,12.38,-0.27,78.886012,6.9958894,16.997813,8.861345,16.115443,23.980805,0.52472316,0,0,0,0.088135675
HD 113337 c,6299.6769,12.1,5429.9348,43.027641,3.5560034,6.8965136,0.091256564,139.29974,,Jovian,Cold,HD 113337,F,195.44385,63.610328,6.02078,6667.33,1.41,1.53,0.07,4.1686938,1.4531109,3.3652338,1.840501,3.1905497,5.5126925,10.48339,0,0,0,0.15992948
HD 28109 c,7.943,4.23,56.00819,0.4439191,0.10494541,0.3102287,30.34339,596.25222,,Neptunian,Hot,HD 28109,F,65.238306,-68.102688,9.42,6120,1.26,1.45,0,2.8575905,1.2425054,2.9037125,1.5737722,2.7529839,4.5641905,3.9431758,0,0,0,0.20694534
TOI-238 b,3.4,1.402,1.2730991,1.7297482,1.2337719,0.021523116,766.12592,1331.9858,1504.2687,Terran,Hot,TOI-238,K,349.23108,-18.606646,10.748,5059,0.79,0.73,-0.114,0.33806484,0.45411774,1.0954053,0.57520649,1.0385427,1.5698703,0.54529791,0,0,0,0.28487692
TOI-4562 b,732,12.53,225.11781,4.6623937,0.37209846,0.9897984,4.6710617,321.83958,,Jovian,Hot,TOI-4562,F,112.01006,-63.517779,12.14,6096,1.19,1.15,0.08,1.7906059,0.98499507,2.3030761,1.2476073,2.1835259,3.6129651,3.7124856,0,0,0,0.24327995
HIP 12961 b,114.4188,13.2,57.435,0.65667355,0.049747996,0.2536125,1.6124565,285.48886,,Jovian,Hot,HIP 12961,M,41.680075,-23.086005,10.25,3901,0.69,0.65,-0.14,0.099311605,0.25612998,0.65149497,0.32442802,0.61766934,0.85087108,0.071291305,0,0,0,0.37027471
HD 11755 b,1789.3829,12.8,433.70001,10.921526,0.85324426,1.1096745,126.51179,848.4906,,Jovian,Hot,HD 11755,G,29.707836,73.152137,6.88269,4312,0.72,20.58,-0.74,147.57065,9.7738793,24.362894,12.380149,23.098102,32.799239,0.14650491,0,0,0,0.078038714
HD 29985 b,1739.4749,12.8,20608.14,10.616912,0.82944625,13.84607,0.000823681,42.591788,,Jovian,Cold,HD 29985,K,70.521659,-33.92107,9.98,4678,0.75,0.57,-0.22,0.14256076,0.29994096,0.73508222,0.37992133,0.69692278,1.0194449,0.2785101,0,0,0,0.070521771
HD 115954 b,2685.65,12.6,3700,16.916415,1.3425726,5.5929225,0.13862636,147.90128,,Jovian,Cold,HD 115954,G,199.98537,38.369138,8.34,5957,1.18,1.21,0.34,3.0269134,1.2915721,3.0292983,1.6359281,2.8720504,4.6974673,2.9156322,0,0,0,0.19383483
HIP 97233 b,6098.1736,12.1,1062.2651,41.651347,3.44226,2.985339,3.3193869,313.86461,,Jovian,Hot,HIP 97233,K,296.42212,-0.6968794,7.34,5020,1.81,5.34,0.29,15.99558,3.1296262,7.5606942,3.964132,7.1682166,10.798508,0.67228341,0,0,0,0.29066816
HD 95872 b,1188.6842,13,4375,7.0336343,0.54104879,5.15927,0.021635587,97.633371,,Jovian,Cold,HD 95872,K,165.86588,-22.09433,9.955,5312,0.7,0.84,0.41,0.57279603,0.58342329,1.3942819,0.73898683,1.3219054,2.0434488,0.8088947,0,0,0,0.091215607
OGLE-2015-BLG-0966L b,21,4.86,,0.88909211,0.18294076,2.7,,,,Neptunian,,OGLE-2015-BLG-0966L,,268.75425,-29.047111,,,0.38,,,,,,,,,,0,0,0,
TOI-1470 b,7.32,2.18,2.527093,1.5402744,0.70654788,0.0297825,48.505343,660.57708,746.01801,Superterran,Hot,TOI-1470,M,10.089143,61.213387,13.459,3709,0.47,0.47,0,0.03758374,0.15809966,0.40602648,0.20025695,0.38494418,0.52343621,0.045102246,0,0,0,0.27249568
V1298 Tau b,203.41018,10.27,24.1396,1.928554,0.1877852,0.17589804,35.021205,609.64599,,Jovian,Hot,V1298 Tau,K,61.331654,20.157032,10.115,5050,1.1,1.34,0.1,0.95499259,0.76358949,1.8425461,0.96719787,1.7468992,2.6385405,0.59957102,0,0,0,0.11439136
HD 22946 d,26.57,2.607,47.42489,3.9093944,1.4995759,0.2958,18.492842,528.26352,,Neptunian,Hot,HD 22946,F,54.819538,-42.763028,8.270001,6169,1.1,1.12,-0.08,1.61808,0.93218516,2.1763223,1.1807152,2.0633518,3.4345019,4.0996486,0,0,0,0.29154607
WASP-70 A b,187.512,13.047,3.7130203,1.1015589,0.084430056,0.04853,616.56578,1269.3885,,Jovian,Hot,WASP-70 A,G,315.47719,-13.433382,10.786,5763,1.11,1.22,-0.006,1.4521116,0.9051531,2.1333669,1.1464891,2.0226257,3.253597,2.0470707,0,0,0,0.070202469
HAT-P-18 b,62.61,11.153,5.508023,0.50333867,0.045130339,0.056097215,86.639115,776.16119,,Jovian,Hot,HAT-P-18,K,256.34638,33.012325,12.597,4803,0.77,0.75,0.1,0.26977394,0.41047997,1.000534,0.51993515,0.94859513,1.4023737,0.34826955,0,0,0,0.090927687
HD 86226 c,7.25,2.16,3.98442,1.5539266,0.71941047,0.049137813,492.98391,1199.0817,1354.1743,Superterran,Hot,HD 86226,G,149.12352,-24.099186,7.93,5863,1.02,1.05,0.018,1.1803206,0.81115047,1.9068527,1.0274202,1.8078698,2.9333492,2.3632175,0,0,0,0.24944255
XO-4 b,451.3186,14.011,4.12508,2.2990317,0.16408763,0.05524,1125.8814,1475.6144,,Jovian,Hot,XO-4,F,110.38803,58.268109,10.814,6397,1.1,1.45,-0.04,3.4355795,1.3398165,3.115033,1.6970147,2.9533355,5.0045354,6.0654291,0,0,0,0.065191477
HATS-6 b,101.38777,11.187,3.3252725,0.81013668,0.072417688,0.03623,60.515041,710.50239,,Jovian,Hot,HATS-6,M,88.146808,-19.031627,15.044,3724,0.57,0.57,0.2,0.079432823,0.22978808,0.58969187,0.29106118,0.55907321,0.76096339,0.049353233,0,0,0,0.095913301
K2-121 b,44.1,7.52,5.1857539,0.77983533,0.10370151,0.06442218,46.609183,659.46748,,Neptunian,Hot,K2-121,K,126.93666,17.579327,13.229,4690,0.69,0.67,-0.16,0.17988709,0.33676585,0.82489329,0.42656566,0.78207166,1.1451537,0.27651814,0,0,0,0.13300305
HR 5183 b,1052.012,13.1,27000,6.130249,0.46795794,24.3504,0.014190121,71.282395,,Jovian,Cold,HR 5183,G,206.7358,6.3498994,6.33432,5794,1.07,1.53,0.1,2.4945947,1.184166,2.7886787,1.4998924,2.6439209,4.2644572,2.1327965,0,0,0,0.08314438
K2-107 b,266.9772,15.98,3.313959,1.0454918,0.065425018,0.0475,1290.0685,1526.6972,,Jovian,Hot,K2-107,F,284.98536,-22.293421,13.012,6061,1.3,1.81,0.14,2.9107171,1.2585251,2.9448469,1.5940655,2.7919829,4.6064225,3.6003892,0,0,0,0.057873065
WASP-13 b,114.4188,13.675,4.35301,0.61184684,0.044741999,0.05362,949.1752,1413.9573,,Jovian,Hot,WASP-13,G,140.10297,33.882329,10.424,5950,0.72,1.37,0,2.7289778,1.2268853,2.8780545,1.5539949,2.7286575,4.4602969,2.4433934,0,0,0,0.066780801
TOI-2076 b,6.89,2.518,10.35509,1.0866953,0.43157079,0.0682,81.176674,764.6409,,Neptunian,Hot,TOI-2076,K,217.39202,39.790399,9.139,5200,0.82,0.77,-0.09,0.37757219,0.47650708,1.1433198,0.60356409,1.0839704,1.6590664,0.70344808,0,0,0,0.2456444
GJ 436 b,22.1,4.17,2.6438831,1.2709257,0.30477835,0.029378176,31.003146,598.93765,,Neptunian,Hot,GJ 436,M,175.55054,26.703067,10.67,3586.11,0.47,0.46,0.099,0.026001596,0.13173884,0.34040745,0.16686659,0.32273145,0.43537528,0.036518063,0,0,0,0.20789076
GJ 357 c,3.4,1.66,9.1247,1.2338511,0.74328378,0.061,4.2789807,366.38256,413.77153,Superterran,Hot,GJ 357,M,144.00746,-21.665063,10.91,3505,0.34,0.34,-0.12,0.015922087,0.10319869,0.26773515,0.13071604,0.25383224,0.34069343,0.028517873,0,0,0,0.52704265
WASP-48 b,254.264,16.814,2.14363,0.8993791,0.053489895,0.03444,3205.3371,1916.7618,,Jovian,Hot,WASP-48,G,291.16239,55.473027,11.647,5920,0.88,1.58,-0.12,3.801894,1.4507665,3.4056791,1.8375684,3.2288936,5.2645804,2.4811894,0,0,0,0.054797605
Kepler-18 d,16.4,6.98,14.85888,0.33661464,0.048225593,0.1172,67.786744,730.94703,,Neptunian,Hot,Kepler-18,G,298.07944,44.746248,13.771,5345,0.97,1.11,0.19,0.93110788,0.74251091,1.7724626,0.94049271,1.6804549,2.6053361,0.95441762,0,0,0,0.13274712
WASP-132 c,37.35,1.85,1.011534,10.913075,5.8989596,0.01835379,770.11995,1337.683,1510.7028,Superterran,Hot,WASP-132,K,217.6092,-46.159516,11.938,4714,0.78,0.75,0.18,0.2529298,0.39894007,0.97615533,0.50531871,0.92548156,1.3578874,0.30017808,0,0,0,0.26387166
WASP-82 b,371.8611,18.159,2.70579,1.1277086,0.062101911,0.0447,3114.4758,1903.0314,,Jovian,Hot,WASP-82,F,72.660592,1.8938365,10.073,6480,1.48,2.1,0.12,6.2230029,1.7944313,4.1665175,2.272826,3.950239,6.7354058,7.7222821,0,0,0,0.051096828
WASP-36 b,750.39663,14.874,1.537366,3.3918397,0.22803817,0.026774832,1398.8839,1557.8144,,Jovian,Hot,WASP-36,G,131.58039,-8.0269855,12.836,5959,1.08,0.99,-0.26,1.0023052,0.74313155,1.7428848,0.9412635,1.6524134,2.7031103,2.8405704,0,0,0,0.061641258
WASP-15 b,171.6282,15.805,3.7521,0.68706788,0.043471552,0.05165,1158.4021,1486.1565,,Jovian,Hot,WASP-15,F,208.92801,-32.159712,10.972,6300,1.18,1.48,-0.17,3.0902954,1.2780854,2.9764708,1.6188302,2.8219657,4.7463938,5.2559496,0,0,0,0.058540397
TOI-451 c,9.8,3.1,9.192522,1.0197711,0.32895841,0.0823,95.54332,796.434,,Neptunian,Hot,TOI-451,G,62.966385,-37.93973,10.939,5550,0.95,0.88,,0.64714262,0.61190249,1.4510388,0.7750551,1.3757165,2.1720197,1.3479587,0,0,0,0.21854598
HAT-P-2 c,3400.764,12.4,8500,22.117351,1.7836574,9.5754742,0.058500189,121.90925,,Jovian,Cold,HAT-P-2,F,245.15143,41.04796,8.72,6412,1.33,1.42,0.054,4.3651583,1.5088982,3.5072829,1.9111733,3.3252242,5.6410996,6.6303983,0,0,0,0.12967859
WASP-181 b,95.03117,13.271,4.5195064,0.53958365,0.040658854,0.05427,380.08467,1124.7857,,Jovian,Hot,WASP-181,G,26.793225,3.1329325,12.924,5839,1.04,0.97,0.09,1.1194379,0.79110244,1.860854,1.0020276,1.7642588,2.8566943,2.282485,0,0,0,0.070246573
TOI-451 d,15.6,4.07,16.364988,0.94175033,0.23138829,0.1208,44.347193,657.37963,,Neptunian,Hot,TOI-451,G,62.966385,-37.93973,10.939,5550,0.95,0.88,,0.64714262,0.61190249,1.4510388,0.7750551,1.3757165,2.1720197,1.3479587,0,0,0,0.19987672
WASP-133 b,368.6828,13.563,2.176423,2.0042014,0.14776977,0.034998525,1720.7978,1631.735,,Jovian,Hot,WASP-133,G,314.57544,-35.796622,12.891,5700,1.16,1.44,0.29,2.0183664,1.0711668,2.5290048,1.3567684,2.3977264,3.835869,1.8642568,0,0,0,0.066760969
55 Cnc e,7.99,1.875,0.7365474,2.2727111,1.2121126,0.0154593,2668.3879,1830.0298,2066.7311,Superterran,Hot,55 Cnc,G,133.14684,28.329815,5.95084,5172,0.91,0.94,0.35,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,2.1521065,0.69409129,0,0,0,0.2613764
HAT-P-69 b,1137.8314,18.786,4.7869491,3.2241058,0.17162279,0.06555,2327.312,1769.3484,,Jovian,Hot,HAT-P-69,A,130.50564,3.7105662,9.774,7394,1.65,1.93,-0.069,10,2.1928262,5.053484,2.7773881,4.791173,8.5381497,38.498005,0,0,0,0.049648215
HAT-P-1 b,166.86075,14.785,4.4652998,0.7633286,0.051628583,0.05561,542.86796,1229.6266,,Jovian,Hot,HAT-P-1,G,344.44536,38.674919,9.827,5980,1.15,1.17,0.13,1.678804,0.96052671,2.251645,1.2166193,2.1347644,3.4983541,3.0072213,0,0,0,0.063168333
WASP-24 b,394.1092,15.468,2.34121,1.6472073,0.10649129,0.03651,1607.5938,1613.035,,Jovian,Hot,WASP-24,F,227.2155,2.343286,11.219,6075,1.43,1.42,0,2.1428906,1.0789236,2.5238284,1.3665792,2.3928191,3.9524262,3.8070858,0,0,0,0.059423299
WASP-41 c,1010.6994,13.1,421,5.8895134,0.44958118,1.1162433,0.58326102,218.90496,,Jovian,Warm,WASP-41,G,190.6188,-30.639818,11.632,5545,0.93,0.87,0.06,0.63826349,0.6078659,1.441687,0.76994232,1.3668501,2.1570676,1.3269843,1,1,0,0.36528976
HAT-P-2 b,2866.8122,12.663,5.6335158,17.878292,1.4118528,0.077253583,852.68907,1300.3171,,Jovian,Hot,HAT-P-2,F,245.15143,41.04796,8.72,6380,1.33,1.39,0.18,3.3884416,1.3319358,3.0975839,1.6870338,2.9367921,4.9700844,6.2757241,0,0,0,0.071564291
KELT-8 b,209.7678,18.159,3.24406,0.63614331,0.035031847,0.0455364,889.86663,1390.9149,,Jovian,Hot,KELT-8,G,283.30545,24.127248,10.845,5754,0.81,1.46,0.27,1.840772,1.0196626,2.4038378,1.2915299,2.2790567,3.6632264,1.8147012,0,0,0,0.051940669
HAT-P-36 b,587.41341,14.314,1.3273468,2.8669613,0.20029072,0.024147826,1814.803,1661.435,,Jovian,Hot,HAT-P-36,G,188.2662,44.915367,12.146,5620,1.03,1.04,0.25,1.0519619,0.77698117,1.8386431,0.98414717,1.7432006,2.7692602,1.5617423,0,0,0,0.063609167
WASP-5 b,502.15,12.184,1.6284279,3.3826237,0.27762834,0.026719277,1637.9146,1620.1487,,Jovian,Hot,WASP-5,G,359.34903,-41.27722,12.147,5700,0.96,1.03,0.09,1.1668096,0.81443626,1.9228688,1.0315867,1.8230544,2.916512,1.7502906,0,0,0,0.073399944
HATS-24 b,718.2958,15.637,1.3484978,2.9376257,0.18786376,0.0238,2734.2995,1842.0916,,Jovian,Hot,HATS-24,F,268.89071,-61.7474,12.915,6125,1.07,1.12,-0.229,1.5488166,0.9144625,2.1368603,1.1582689,2.0259382,3.3601895,3.7662962,0,0,0,0.058575136
TOI-564 b,464.98529,11.433,1.651144,3.5572862,0.31114197,0.027410865,1447.2101,1569.6743,,Jovian,Hot,TOI-564,G,130.29515,-16.036327,11.097,5640,1,1.09,0.143,1.0789467,0.78595885,1.8588041,0.99551804,1.7623151,2.8045537,1.6004889,0,0,0,0.077668164
HATS-30 b,224.38798,13.171,3.1743516,1.2934871,0.098207202,0.043740632,662.57288,1290.1931,,Jovian,Hot,HATS-30,G,5.618525,-59.942589,12.283,5943,1.09,1.06,0.06,1.250259,0.83078611,1.9491995,1.0522888,1.8480184,3.0190045,2.7720554,0,0,0,0.069507373
HAT-P-12 b,67.059,10.749,3.2130598,0.58039137,0.053994918,0.0384,142.34347,879.90158,,Jovian,Hot,HAT-P-12,K,209.38865,43.49331,12.665,4650,0.73,0.7,-0.29,0.20989399,0.36434604,0.89403572,0.46150041,0.84762457,1.2369831,0.26304911,0,0,0,0.088733732
TOI-481 b,486.2799,11.097,10.33111,3.948891,0.35585212,0.098135337,292.81962,1049.1183,,Jovian,Hot,TOI-481,G,110.51269,-57.384998,9.972,5735,1.14,1.66,0.26,2.7227013,1.2415108,2.9283516,1.5725291,2.7763434,4.4551647,1.9683493,0,0,0,0.082638
Kepler-435 b,266.97,22.31,8.6001536,0.53636857,0.024041621,0.09541601,1507.3839,1583.4034,,Jovian,Hot,Kepler-435,F,292.2873,43.197254,13.704,6161,1.54,3.21,-0.18,13.458604,2.6897603,6.2806466,3.4068786,5.954625,9.9052117,4.5236296,0,0,0,0.042630862
K2-136 d,3,1.565,25.575,1.2248773,0.78266917,0.15418765,7.0824699,415.17819,468.87852,Terran,Hot,K2-136,K,67.412862,22.882567,11.101,4500,0.74,0.68,-0.02,0.16710906,0.3269049,0.80765673,0.41407597,0.76572883,1.1037323,0.20421553,0,0,0,0.44553947
HD 149026 b,120.7754,8.295,2.87589,1.7552772,0.21160665,0.04364,1585.7347,1607.5235,,Jovian,Hot,HD 149026,G,247.62298,38.347535,8.15,6179,1.42,1.41,0.32,3.0199517,1.2727353,2.9707942,1.6120591,2.8165834,4.6920622,4.5412251,0,0,0,0.10182417
WASP-170 b,508.528,12.285,2.3447802,3.3694929,0.274277,0.0337,677.23625,1299.5254,,Jovian,Hot,WASP-170,G,135.4163,-20.720369,12.613,5600,0.93,0.94,0.22,0.76913044,0.66514948,1.574934,0.84249832,1.4931805,2.3679022,1.458486,0,0,0,0.073802519
Qatar-3 b,1369.8473,12.285,2.5079204,9.0765716,0.73883366,0.03783,1328.3953,1537.9122,,Jovian,Hot,Qatar-3,G,359.15197,36.212956,12.929,6007,1.15,1.27,-0.041,1.9010783,1.0204549,2.3906488,1.2925244,2.2665527,3.7227491,3.1500002,0,0,0,0.073024845
WASP-18 c,55.2,8.58,2.1558,0.74983292,0.087393114,0.035003937,1972.0266,1697.4992,,Jovian,Hot,WASP-18,F,24.354462,-45.677794,9.28,6400,1.22,1.23,0.19,2.4154608,1.1232286,2.611344,1.4226839,2.4757923,4.1962733,6.3108656,0,0,0,0.098883669
KPS-1 b,346.4347,11.545,1.706291,2.599163,0.22513322,0.0269,613.04936,1267.5747,,Jovian,Hot,KPS-1,K,165.1672,64.963845,12.97,5165,0.89,0.91,0.22,0.44360864,0.5174347,1.2431218,0.65540526,1.1785916,1.7983067,0.68073274,0,0,0,0.078029026
HAT-P-9 b,238.05467,15.614,3.9228107,0.97644628,0.062536588,0.053056525,939.98084,1408.6502,,Jovian,Hot,HAT-P-9,F,110.16852,37.140595,12.344,6350,1.28,1.34,0.12,2.618183,1.172895,2.7291016,1.4855935,2.5874372,4.3688161,5.8848186,0,0,0,0.059392693
TOI-216.01,177.98391,10.1,34.525528,1.7447692,0.17274943,0.20690219,8.4427439,434.22907,,Jovian,Hot,TOI-216,K,73.980013,-63.26033,12.324,5026,0.77,0.75,0.32,0.36140986,0.47029101,1.135882,0.59569268,1.0769181,1.6231691,0.51085755,0,0,0,0.19583607
HATS-42 b,597.5204,15.693,2.292102,2.4262793,0.15460901,0.037857274,2008.5357,1688.3079,,Jovian,Hot,HATS-42,F,108.4524,-33.437346,13.682,6060,1.27,1.48,0.22,2.6607251,1.2033401,2.8157798,1.5241675,2.6696156,4.4041669,3.5663458,0,0,0,0.058526786
HAT-P-13 c,4538.421,12.3,446.27,29.998156,2.4388745,1.5333225,1.8692195,268.61753,,Jovian,Warm,HAT-P-13,G,129.88238,47.351908,10.421,5653,1.32,1.76,0.46,2.2181964,1.1260739,2.6621822,1.426317,2.5239905,4.0212749,1.7953268,1,0,0,0.36217656
K2-116 b,0.257,0.69,4.655411,0.53980256,0.78232255,0.0480864,78.037018,756.62603,854.49021,Subterran,Hot,K2-116,K,336.15234,-11.579318,10.8,4348.35,0.69,0.67,0.01,0.17947336,0.3404769,0.84721427,0.4312673,0.80323171,1.143836,0.15374905,0,0,0,0.29868753
TOI-257 b,43.86032,7.163,18.38818,0.85483421,0.11934025,0.1528,185.2479,939.80561,,Neptunian,Hot,TOI-257,F,47.517261,-50.832263,7.57,6095,1.41,1.87,0.175,4.3251383,1.5309484,3.5796784,1.9391189,3.393861,5.6151811,3.9217152,0,0,0,0.12004219
Qatar-5 b,1373.0256,12.408,2.8792319,8.918156,0.71874242,0.04127,667.93017,1295.0379,,Jovian,Hot,Qatar-5,G,7.0539375,42.061345,12.614,5747,1.13,1.08,0.377,1.1376273,0.801934,1.8909042,1.0157497,1.7927491,2.8798095,2.0034574,0,0,0,0.073190977
WASP-10 b,1001.12,12.106,3.0927616,6.8310081,0.56426632,0.037852296,160.42536,906.2241,,Jovian,Hot,WASP-10,K,348.99305,31.462751,12.413,4675,0.75,0.7,0.05,0.22908677,0.38026596,0.93206311,0.48166531,0.88367803,1.2923012,0.27707835,0,0,0,0.079821269
55 Cnc c,54.4738,8.51,44.3989,0.75219173,0.088389157,0.23740679,11.287559,466.84897,,Jovian,Hot,55 Cnc,G,133.14684,28.329815,5.95084,5172,0.91,0.94,0.35,0.63533093,0.61901216,1.486773,0.78406755,1.4095949,2.1521065,0.69409129,0,0,0,0.18618842
HD 219134 f,7.3,1.31,22.717,4.2538314,3.2471995,0.14790228,12.511823,477.12207,538.8344,Terran,Hot,HD 219134,K,348.3372,57.169626,5.56911,4699,0.81,0.78,0.11,0.26485001,0.40848035,1.000158,0.51740303,0.9482381,1.3895167,0.29624476,0,0,0,0.39013041
K2-132 b,155.7367,14.572,9.1751,0.73341982,0.050330759,0.09545178,1092.1569,1440.6756,,Jovian,Hot,K2-132,K,182.16627,-8.7472172,12.071,4840,1.08,3.85,-0.01,8.7700082,2.3366538,5.6866069,2.9597249,5.3914098,7.9958339,0.41543162,0,0,0,0.062991844
WASP-76 b,292.4036,20.512,1.809886,0.69497103,0.033881193,0.033,4487.1658,2084.9361,,Jovian,Hot,WASP-76,F,26.632936,2.700389,9.518,6250,1.46,1.73,0.23,4.8865236,1.6120137,3.7575825,2.0417884,3.5625306,5.9684803,5.1780819,0,0,0,0.045586607
KELT-15 b,416.3573,19.504,3.32944,1.0945077,0.056117087,0.04613,1213.4813,1503.5158,,Jovian,Hot,KELT-15,F,117.41498,-52.120447,11.39,6003,2.06,1.78,0.05,2.5822602,1.189597,2.787156,1.5067626,2.6424775,4.3387414,3.7994077,0,0,0,0.048385685
K2-290 c,246.00042,11.276,48.36685,1.9347538,0.17158157,0.305,28.274851,587.42143,,Jovian,Hot,K2-290,F,234.85788,-20.198898,11.114,6302,1.19,1.51,-0.06,2.630268,1.1789834,2.7455785,1.4933069,2.6030587,4.3788873,5.2888966,0,0,0,0.11435476
WASP-90 b,200.2329,18.271,3.916243,0.59980599,0.032828307,0.0562,1350.6019,1544.2996,,Jovian,Hot,WASP-90,F,315.53195,7.0562793,11.618,6430,1.55,1.98,0.11,4.2657952,1.4900433,3.4624531,1.8872907,3.2827216,5.5765264,7.1966397,0,0,0,0.051251405
K2-284 b,8.15,2.78,4.795069,1.054552,0.37933527,0.047855134,42.766758,650.69818,,Neptunian,Hot,K2-284,K,79.140797,20.254903,13.265,4140,0.63,0.61,0,0.097050997,0.25184284,0.6330322,0.31899833,0.60016731,0.84113124,0.10427717,0,0,0,0.24752379
LP 714-47 b,30.8,4.7,4.052037,1.3942961,0.29665874,0.04173336,43.15942,652.737,,Neptunian,Hot,LP 714-47,M,64.190221,-12.084864,12.492,3950,0.59,0.58,0.41,0.074989421,0.22234656,0.56418063,0.28163628,0.5348888,0.7393733,0.073608955,0,0,0,0.18365733
TrES-4 b,247.9074,18.046,3.55395,0.76125049,0.042183891,0.05084,2058.6803,1715.9196,,Jovian,Hot,TrES-4,F,268.30434,37.21174,11.932,6200,1.08,1.66,0.14,5.3210826,1.687268,3.9367608,2.1371091,3.7324079,6.2282174,4.2975405,0,0,0,0.051562375
NGTS-2 b,235.1942,17.878,4.511164,0.73584906,0.041159473,0.063,1077.2559,1459.4171,,Jovian,Hot,NGTS-2,F,215.12276,-31.20207,10.789,6478,1.64,1.7,-0.06,4.2756289,1.4875702,3.4541172,1.8841559,3.2748185,5.5829503,7.9636862,0,0,0,0.052468776
WASP-73 b,908.9938,15.917,4.08722,3.5878848,0.22541212,0.05512,2052.9652,1714.7275,,Jovian,Hot,WASP-73,F,319.9497,-58.148933,10.468,6030,2.52,2.55,0.14,6.2373484,1.845797,4.3219664,2.3379144,4.0976175,6.7431647,4.2563649,0,0,0,0.057773416
WASP-81 b,231.69807,16.018,2.7164762,0.90303761,0.056376427,0.039165116,1156.2157,1484.2397,,Jovian,Hot,WASP-81,G,304.20799,3.2939492,12.469,5870,1.08,1.28,-0.36,1.761976,0.99064273,2.3283949,1.2547686,2.2075301,3.583965,2.4378167,0,0,0,0.057844844
