P_NAME,P_MASS,P_RADIUS,P_PERIOD,P_GRAVITY,P_DENSITY,P_DISTANCE,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,P_TYPE_TEMP,S_NAME,S_TYPE_TEMP,S_RA,S_DEC,S_MAG,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_SNOW_LINE,S_ABIO_ZONE,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI
Kepler-161 b,12.1,2.12,4.921355,2.6922392,1.2699242,0.054,122.52155,847.52561,957.147,Superterran,Hot,Kepler-161,K,290.51647,43.083864,14.406,5078,0.86,0.81,0.07,0.35727284,0.46640335,1.1242138,0.5907678,1.0658557,1.6138522,0.57956283,0,0,0,0.25947934
Kepler-1587 b,2.33,1.33,9.4060467,1.3172028,0.99037803,0.0878,274.79636,1037.176,1171.3273,Terran,Hot,Kepler-1587,G,292.67773,49.663867,14.166,5933,1.08,1.22,0.07,2.1183611,1.0820661,2.5393604,1.3705649,2.4075447,3.9297395,2.7164798,0,0,0,0.29091312
Kepler-1588 b,0.363,0.76,7.8493174,0.6284626,0.82692448,0.0726,396.39371,1136.6622,1283.6813,Subterran,Hot,Kepler-1588,G,288.23272,48.002197,13.94,5817,0.96,0.99,-0.14,2.0892961,1.0822067,2.547038,1.3707475,2.4148237,3.9026874,2.1399615,0,0,0,0.2898751
Kepler-1589 b,1.32,1.09,0.99166527,1.1110176,1.0192822,0.0205,5075.6571,2150.1699,2428.279,Terran,Hot,Kepler-1589,F,294.44182,40.571611,15.074,6166,1.18,1.25,0.08,2.1330449,1.0704871,2.4993586,1.35589,2.3696196,3.9433358,4.1751433,0,0,0,0.29251624
Kepler-1613 b,4.98,2.08,1.5184299,1.1510725,0.55340023,0.0264,6234.3639,2263.5899,2556.3691,Superterran,Hot,Kepler-1613,F,289.87501,43.420932,14.192,6005,1.08,1.12,0.01,4.3451022,1.5429322,3.6148353,1.9543025,3.4271929,5.6281254,3.0741636,0,0,0,0.25089603
Kepler-767 b,35.7,6.64,161.52801,0.80971476,0.12194499,0.5874,8.6722565,437.15227,,Neptunian,Hot,Kepler-767,G,291.57916,38.035807,15.678,5694,0.96,0.94,-0.05,2.9922646,1.3047042,3.0808993,1.6525733,2.9209725,4.6705042,1.7323413,0,0,0,0.23378484
Kepler-229 b,5.48,2.2,6.252972,1.1322314,0.51465064,0.062,75.373142,750.59189,847.67559,Superterran,Hot,Kepler-229,K,286.99948,48.375787,16.22,5120,0.8,0.73,0.16,0.28973436,0.41913143,1.008651,0.53089057,0.95629194,1.4533284,0.60809018,0,0,0,0.26211915
Kepler-573 b,8.2,2.79,22.183297,1.0534294,0.37757327,0.1486,48.413043,671.95518,,Neptunian,Hot,Kepler-573,G,289.5212,51.237406,14.292,5746,0.99,1.02,0.02,1.0690549,0.77743598,1.8331893,0.9847199,1.7380301,2.791668,1.9137546,0,0,0,0.24377551
Kepler-208 d,1.87,1.2,11.131786,1.2986111,1.0821759,0.103,192.01075,948.268,1070.9197,Terran,Hot,Kepler-208,F,293.8902,42.527941,13.561,6092,1.16,1.31,-0.042,2.0370421,1.0508484,2.4572604,1.3310181,2.3297066,3.8535745,3.6558131,0,0,0,0.29727403
Kepler-161 c,11.8,2.05,7.06424,2.8078525,1.3696841,0.068,77.264887,755.25786,852.94507,Superterran,Hot,Kepler-161,K,290.51647,43.083864,14.406,5078,0.86,0.81,0.07,0.35727284,0.46640335,1.1242138,0.5907678,1.0658557,1.6138522,0.57956283,0,0,0,0.26922609
